symbol,exchange
A,NYSE
AAPL,NASDAQ
ABBV,NYSE
ABNB,NASDAQ
ABT,NYSE
ACGL,NASDAQ
ACN,NYSE
ADBE,NASDAQ
ADI,NASDAQ
ADM,NYSE
ADP,NASDAQ
ADSK,NASDAQ
AEE,NYSE
AEP,NASDAQ
AES,NYSE
AFL,NYSE
AIG,NYSE
AIZ,NYSE
AJG,NYSE
AKAM,NASDAQ
ALB,NYSE
ALGN,NASDAQ
ALL,NYSE
ALLE,NYSE
AMAT,NASDAQ
AMCR,NYSE
AMD,NASDAQ
AME,NYSE
AMGN,NASDAQ
AMP,NYSE
AMT,NYSE
AMZN,NASDAQ
ANET,NYSE
ANSS,NASDAQ
AON,NYSE
AOS,NYSE
APA,NASDAQ
APD,NYSE
APH,NYSE
APO,NYSE
APTV,NYSE
ARE,NYSE
ATO,NYSE
AVB,NYSE
AVGO,NASDAQ
AVY,NYSE
AWK,NYSE
AXON,NASDAQ
AXP,NYSE
AZO,NYSE
BA,NYSE
BAC,NYSE
BALL,NYSE
BAX,NYSE
BBY,NYSE
BDX,NYSE
BEN,NYSE
BF.B,NYSE
BG,NYSE
BIIB,NASDAQ
BK,NYSE
BKNG,NASDAQ
BKR,NASDAQ
BLDR,NYSE
BLK,NYSE
BMY,NYSE
BR,NYSE
BRO,NYSE
BSX,NYSE
BWA,NYSE
BX,NYSE
BXP,NYSE
C,NYSE
CAG,NYSE
CAH,NYSE
CARR,NYSE
CAT,NYSE
CB,NYSE
CBOE,NYSEMKT
CBRE,NYSE
CCI,NYSE
CCL,NYSE
CDNS,NASDAQ
CDW,NASDAQ
CE,NYSE
CEG,NASDAQ
CF,NYSE
CFG,NYSE
CHD,NYSE
CHRW,NASDAQ
CHTR,NASDAQ
CI,NYSE
CINF,NASDAQ
CL,NYSE
CLX,NYSE
CMCSA,NASDAQ
CME,NASDAQ
CMG,NYSE
CMI,NYSE
CMS,NYSE
CNC,NYSE
CNP,NYSE
COF,NYSE
COO,NASDAQ
COP,NYSE
COR,NYSE
COST,NASDAQ
CPAY,NYSE
CPB,NASDAQ
CPRT,NASDAQ
CPT,NYSE
CRL,NYSE
CRM,NYSE
CRWD,NASDAQ
CSCO,NASDAQ
CSGP,NASDAQ
CSX,NASDAQ
CTAS,NASDAQ
CTRA,NYSE
CTSH,NASDAQ
CTVA,NYSE
CVS,NYSE
CVX,NYSE
CZR,NASDAQ
D,NYSE
DAL,NYSE
DAY,NYSE
DD,NYSE
DE,NYSE
DECK,NYSE
DELL,NYSE
DFS,NYSE
DG,NYSE
DGX,NYSE
DHI,NYSE
DHR,NYSE
DIS,NYSE
DLR,NYSE
DLTR,NASDAQ
DOC,NYSE
DOV,NYSE
DOW,NYSE
DPZ,NASDAQ
DRI,NYSE
DTE,NYSE
DUK,NYSE
DVA,NYSE
DVN,NYSE
DXCM,NASDAQ
EA,NASDAQ
EBAY,NASDAQ
ECL,NYSE
ED,NYSE
EFX,NYSE
EG,NYSE
EIX,NYSE
EL,NYSE
ELV,NYSE
EMN,NYSE
EMR,NYSE
ENPH,NASDAQ
EOG,NYSE
EPAM,NYSE
EQIX,NASDAQ
EQR,NYSE
EQT,NYSE
ERIE,NASDAQ
ES,NYSE
ESS,NYSE
ETN,NYSE
ETR,NYSE
EVRG,NASDAQ
EW,NYSE
EXC,NASDAQ
EXPD,NYSE
EXPE,NASDAQ
EXR,NYSE
F,NYSE
FANG,NASDAQ
FAST,NASDAQ
FCX,NYSE
FDS,NYSE
FDX,NYSE
FE,NYSE
FFIV,NASDAQ
FI,NYSE
FICO,NYSE
FIS,NYSE
FITB,NASDAQ
FMC,NYSE
FOX,NASDAQ
FOXA,NASDAQ
FRT,NYSE
FSLR,NASDAQ
FTNT,NASDAQ
FTV,NYSE
GD,NYSE
GDDY,NYSE
GE,NYSE
GEHC,NASDAQ
GEN,NASDAQ
GEV,NYSE
GILD,NASDAQ
GIS,NYSE
GL,NYSE
GLW,NYSE
GM,NYSE
GNRC,NYSE
GOOG,NASDAQ
GOOGL,NASDAQ
GPC,NYSE
GPN,NYSE
GRMN,NYSE
GS,NYSE
GWW,NYSE
HAL,NYSE
HAS,NASDAQ
HBAN,NASDAQ
HCA,NYSE
HD,NYSE
HES,NYSE
HIG,NYSE
HII,NYSE
HLT,NYSE
HOLX,NASDAQ
HON,NASDAQ
HPE,NYSE
HPQ,NYSE
HRL,NYSE
HSIC,NASDAQ
HST,NASDAQ
HSY,NYSE
HUBB,NYSE
HUM,NYSE
HWM,NYSE
IBM,NYSE
ICE,NYSE
IDXX,NASDAQ
IEX,NYSE
IFF,NYSE
INCY,NASDAQ
INTC,NASDAQ
INTU,NASDAQ
INVH,NYSE
IP,NYSE
IPG,NYSE
IQV,NYSE
IR,NYSE
IRM,NYSE
ISRG,NASDAQ
IT,NYSE
ITW,NYSE
IVZ,NYSE
J,NYSE
JBHT,NASDAQ
JBL,NYSE
JCI,NYSE
JKHY,NASDAQ
JNJ,NYSE
JNPR,NYSE
JPM,NYSE
K,NYSE
KDP,NASDAQ
KEY,NYSE
KEYS,NYSE
KHC,NASDAQ
KIM,NYSE
KKR,NYSE
KLAC,NASDAQ
KMB,NYSE
KMI,NYSE
KMX,NYSE
KO,NYSE
KR,NYSE
KVUE,NYSE
L,NYSE
LDOS,NYSE
LEN,NYSE
LH,NYSE
LHX,NYSE
LII,NYSE
LIN,NASDAQ
LKQ,NASDAQ
LLY,NYSE
LMT,NYSE
LNT,NASDAQ
LOW,NYSE
LRCX,NASDAQ
LULU,NASDAQ
LUV,NYSE
LVS,NYSE
LW,NYSE
LYB,NYSE
LYV,NYSE
MA,NYSE
MAA,NYSE
MAR,NASDAQ
MAS,NYSE
MCD,NYSE
MCHP,NASDAQ
MCK,NYSE
MCO,NYSE
MDLZ,NASDAQ
MDT,NYSE
MET,NYSE
META,NASDAQ
MGM,NYSE
MHK,NYSE
MKC,NYSE
MKTX,NASDAQ
MLM,NYSE
MMC,NYSE
MMM,NYSE
MNST,NASDAQ
MO,NYSE
MOH,NYSE
MOS,NYSE
MPC,NYSE
MPWR,NASDAQ
MRK,NYSE
MRNA,NASDAQ
MS,NYSE
MSCI,NYSE
MSFT,NASDAQ
MSI,NYSE
MTB,NYSE
MTCH,NASDAQ
MTD,NYSE
MU,NASDAQ
NCLH,NYSE
NDAQ,NASDAQ
NDSN,NASDAQ
NEE,NYSE
NEM,NYSE
NFLX,NASDAQ
NI,NYSE
NKE,NYSE
NOC,NYSE
NOW,NYSE
NRG,NYSE
NSC,NYSE
NTAP,NASDAQ
NTRS,NASDAQ
NUE,NYSE
NVDA,NASDAQ
NVR,NYSE
NWS,NASDAQ
NWSA,NASDAQ
NXPI,NASDAQ
O,NYSE
ODFL,NASDAQ
OKE,NYSE
OMC,NYSE
ON,NASDAQ
ORCL,NYSE
ORLY,NASDAQ
OTIS,NYSE
OXY,NYSE
PANW,NASDAQ
PARA,NASDAQ
PAYC,NYSE
PAYX,NASDAQ
PCAR,NASDAQ
PCG,NYSE
PEG,NYSE
PEP,NASDAQ
PFE,NYSE
PFG,NASDAQ
PG,NYSE
PGR,NYSE
PH,NYSE
PHM,NYSE
PKG,NYSE
PLD,NYSE
PLTR,NASDAQ
PM,NYSE
PNC,NYSE
PNR,NYSE
PNW,NYSE
PODD,NASDAQ
POOL,NASDAQ
PPG,NYSE
PPL,NYSE
PRU,NYSE
PSA,NYSE
PSX,NYSE
PTC,NASDAQ
PWR,NYSE
PYPL,NASDAQ
QCOM,NASDAQ
RCL,NYSE
REG,NASDAQ
REGN,NASDAQ
RF,NYSE
RJF,NYSE
RL,NYSE
RMD,NYSE
ROK,NYSE
ROL,NYSE
ROP,NASDAQ
ROST,NASDAQ
RSG,NYSE
RTX,NYSE
RVTY,NYSE
SBAC,NASDAQ
SBUX,NASDAQ
SCHW,NYSE
SHW,NYSE
SJM,NYSE
SLB,NYSE
SMCI,NASDAQ
SNA,NYSE
SNPS,NASDAQ
SO,NYSE
SOLV,NYSE
SPG,NYSE
SPGI,NYSE
SRE,NYSE
STE,NYSE
STLD,NASDAQ
STT,NYSE
STX,NASDAQ
STZ,NYSE
SW,NYSE
SWK,NYSE
SWKS,NASDAQ
SYF,NYSE
SYK,NYSE
SYY,NYSE
T,NYSE
TAP,NYSE
TDG,NYSE
TDY,NYSE
TECH,NASDAQ
TEL,NYSE
TER,NASDAQ
TFC,NYSE
TFX,NYSE
TGT,NYSE
TJX,NYSE
TMO,NYSE
TMUS,NASDAQ
TPL,NYSE
TPR,NYSE
TRGP,NYSE
TRMB,NASDAQ
TROW,NASDAQ
TRV,NYSE
TSCO,NASDAQ
TSLA,NASDAQ
TSN,NYSE
TT,NYSE
TTWO,NASDAQ
TXN,NASDAQ
TXT,NYSE
TYL,NYSE
UAL,NASDAQ
UBER,NYSE
UDR,NYSE
UHS,NYSE
ULTA,NASDAQ
UNH,NYSE
UNP,NYSE
UPS,NYSE
URI,NYSE
USB,NYSE
V,NYSE
VICI,NYSE
VLO,NYSE
VLTO,NYSE
VMC,NYSE
VRSK,NASDAQ
VRSN,NASDAQ
VRTX,NASDAQ
VST,NYSE
VTR,NYSE
VTRS,NASDAQ
VZ,NYSE
WAB,NYSE
WAT,NYSE
WBA,NASDAQ
WBD,NASDAQ
WDAY,NASDAQ
WDC,NASDAQ
WEC,NYSE
WELL,NYSE
WFC,NYSE
WM,NYSE
WMB,NYSE
WMT,NYSE
WRB,NYSE
WST,NYSE
WTW,NASDAQ
WY,NYSE
WYNN,NASDAQ
XEL,NASDAQ
XOM,NYSE
XYL,NYSE
YUM,NYSE
ZBH,NYSE
ZBRA,NASDAQ
ZTS,NYSE
